drugName,drugId
Divalproex Sodium ER,625
Fluticasone Propionate Nasal,626
Albumin 25% (12.5 g),627
Hyoscyamine SO4 (Time Release),628
Nifedipine,629
Pancrease,630
Mesalamine DR,631
Midodrine,632
Heparin Flush Port (10units/ml),633
Midodrine HCl,634
Heparin Flush Hickman (100 units/ml),635
Lactulose Enema,636
Miralax,637
Beclomethasone Dipropionate,638
Disopyramide Phosphate,639
Prilosec,640
Ambisome,641
Indomethacin,642
Oxycodone-Acetaminophen (5mg-325mg),643
EPINEPHrine,644
Testosterone 5mg Patch,645
Clopidogrel,646
Repaglinide,647
Aprotinin (Bovine),648
"Albumin, Human",649
Oseltamivir,650
Oxcarbazepine,651
Methylene Blue 1%,652
0.45% Sodium Chloride,653
Promethazine,654
Creon 12,655
Dronabinol,656
Adderall XR,657
Chlorothiazide,658
Lithium Carbonate CR (Eskalith),659
Fluticasone-Salmeterol Diskus (250/50) ,660
Lidocaine 2%,661
Rofecoxib,662
Tigecycline,663
Sodium Chloride,664
Prismasate (B22 K4),665
Prismasate (B32 K2),666
Citrate Dextrose 3% (ACD-A) CRRT,667
Heparin Flush (5000 Units/mL),668
Cepacol (Menthol),669
Clonidine TTS 2 Patch,670
Ethambutol HCl,671
Streptomycin Sulfate,672
Pentoxifylline,673
Morphine Sulfate (Oral Soln.),674
Aspirin Desensitization (Angioedema),675
Nystatin Oral Susp.,676
sevelamer HYDROCHLORIDE,677
Travasol 4.25% W/ Dextrose 5%,678
Multivitamin 12,679
Sodium Chloride 3% (Hypertonic),680
CefTAZidime,681
Lidocaine 1%/Epinephrine 1:100000,682
Aquaphor Ointment,683
Bengay,684
Naloxone,685
Heparin Flush (1000 units/mL),686
Lovastatin,687
Vitamin A,688
Sodium CITRATE 4%,689
Ciprofloxacin 0.3% Ophth Soln,690
SulfaSALAzine_,691
Pramipexole,692
Actonel,693
0.45 % Sodium Chloride,694
Cyclosporine (Sandimmune),695
Nabumetone,696
Prazosin HCl,697
Hydroxyurea,698
Amantadine,699
Eucerin,700
Carbidopa-Levodopa (10-100),701
Atovaquone Suspension,702
Penicillin G Potassium,703
Paroxetine,704
Epinephrine Inhalation,705
Magnesium Sulfate Replacement (Oncology),706
Oseltamivir Phosphate,707
Multivitamin-12,708
Sodium Chloride ,709
Docusate,710
Hydrocerin,711
Heparin CRRT,712
Trisodium Citrate 0.4% Replacement Soln,713
Fosamprenavir,714
Zidovudine,715
LaMIVudine-Zidovudine (Combivir),716
RiTONAvir,717
Vitamin B Complex w/C,718
Darunavir,719
Phenytoin Sodium Extended,720
Carbidopa-Levodopa CR (25-100),721
Oxymetazoline,722
Nicotine Polacrilex,723
Tobramycin Sulfate,724
Dakins 1/4 Strength,725
Amphotericin B,726
Sterile Water For Irrigation,727
Ranexa,728
Sumatriptan Succinate,729
Fluticasone-Salmeterol Diskus (100/50),730
Prednisolone Acetate 0.12% Ophth. Susp.,731
Lepirudin,732
Atropine Sulfate Ophth 1%,733
Bacitracin/Polymyxin B Sulfate Opht. Oint,734
Mycophenolate Mofetil Suspension,735
Hydroxyzine HCl,736
Sildenafil,737
Dorzolamide 2% Ophth. Soln.,738
Abacavir Sulfate,739
Didanosine EC,740
Risperidone (Disintegrating Tablet),741
D5W (GLASS BOTTLE),742
Qvar,743
Phosphorus,744
Carbamazepine Suspension,745
Methylphenidate SR,746
LaMIVudine,747
Epinephrine HCl,748
ValGANCIclovir Suspension,749
Tobramycin-Dexamethasone Ophth Oint,750
Estrogens Conjugated,751
Tobramycin Inhalation Soln,752
Bicitra,753
Heparin Dwell (1000 Units/mL),754
Terazosin,755
Dapsone,756
Hydrocortisone (Rectal) 2.5% Cream,757
Phenobarbital,758
Zelnorm,759
Triamcinolone Acetonide 0.025% Cream,760
Glucose Tab,761
Scopolamine 0.25% Ophth Soln,762
Lidocaine 0.5%,763
Vitamin B Complex,764
Rocuronium,765
TB Syringe,766
Insulin Regular Human (U-500),767
Sildenafil Citrate,768
Niaspan,769
Adderall,770
Evista,771
Kaopectate/Benadryl/Lido Visc.,772
Heparin (IABP),773
Dofetilide,774
Nitrofurantoin (Macrodantin),775
Clozapine,776
Tamoxifen Citrate,777
CycloSPORINE (Neoral) MODIFIED,778
Tizanidine HCl,779
Buspirone,780
Tacrolimus Suspension,781
Argatroban,782
Topiramate (Topamax),783
Fentanyl PCA,784
NS        (Glass Bottle),785
Trihexyphenidyl HCl,786
Carbidopa-Levodopa CR (50-200),787
Penicillin V Potassium,788
Insulin Pump,789
Miconazole Nitrate Vaginal,790
Provigil,791
Fleet Enema,792
Debrox 6.5%,793
Bismuth Subsalicylate Chewable,794
Sirolimus,795
Codeine Phosphate,796
Trifluoperazine HCl,797
Hydrocortisone Acetate Ointment 1%,798
Miconazole Nitrate (Combo Pack),799
Pletal,800
Digoxin Immune Fab,801
Methylphenidate,802
Doxercalciferol,803
Phenazopyridine,804
Caphosol,805
Probenecid,806
Perphenazine,807
Lopinavir-Ritonavir,808
Tromethamine,809
Emtricitabine-Tenofovir (Truvada),810
Methyldopa,811
Droperidol,812
Salsalate,813
Cilostazol,814
Ceftriaxone Desensitization,815
Fluorometholone 0.1% Ophth Susp.,816
Hydromorphone-HP,817
Minocycline HCl,818
Cyclophosphamide,819
Ketoconazole 2% ,820
PrimiDONE,821
Methylprednisolone,822
Acetaminophen w/Codeine Elixir,823
Eplerenone,824
Acetylcysteine (IV),825
*NF* Ertapenem Sodium,826
Nystatin-Triamcinolone Cream,827
Pyrazinamide,828
Chloraseptic Throat Spray,829
Albumin 5% (12.5g / 250mL),830
Clopidogrel Desensitization,831
*NF* Levetiracetam,832
Zofran,833
*NF* Temozolomide,834
Mineral Oil,835
Abciximab,836
Albuterol Sulfate,837
Syringe (PCA),838
Carbamazepine XR,839
HYDROmorphone-HP,840
quiniDINE Gluconate E.R.,841
GELCLAIR,842
Thrombin,843
Nevirapine,844
Avodart,845
Nitroglycerin SR,846
Amikacin,847
Fenofibrate,848
Mesalamine (Rectal),849
Naphazoline-Pheniramine Ophth. Solution,850
MedroxyPROGESTERone Acetate,851
MetFORMIN XR (Glucophage XR),852
Methocarbamol,853
Xopenex Neb,854
Thiamine Study Drug (*IND*),855
Dipyridamole,856
Syringe (NS),857
Micafungin,858
Cyclobenzaprine,859
Butalbital-Acet-Caffeine,860
Amiloride HCl,861
Indinavir Sulfate,862
Amitriptyline,863
Modafinil,864
Pyridoxine,865
Etravirine,866
Miconazole Nitrate Vag Cream 2%,867
Iron Polysaccharides Complex,868
Arimidex,869
Syringe (Chemo),870
Lidocaine 1% P.F.,871
Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),872
Verapamil,873
Propafenone HCl,874
NS Syringe (Intrapleural),875
Clonidine TTS 3 Patch,876
MethylPHENIDATE (Ritalin),877
Levobunolol Hcl 0.5%,878
NiCARdipine,879
Epoprostenol Na,880
Sterile Diluent for Flolan,881
Hydrocortisone Study Drug (*IND*),882
Budesonide,883
Insulin Glargine,884
Clonidine Patch 0.1 mg/24 hr,885
Glimepiride,886
Albuterol ,887
Rifampin,888
Danazol,889
Lactic Acid 12% Lotion,890
Fluphenazine,891
PHENObarbital,892
Aspirin ,893
Pilocarpine 4%,894
Tenofovir Disoproxil (Viread),895
Methazolamide,896
Loxapine Succinate,897
Sodium Citrate 4%,898
Heparin Flush Port (10 units/mL),899
Albumin 5% ,900
Fosphenytoin,901
ValGANCIclovir,902
Opium Tincture,903
Lidocaine-Prilocaine,904
OLANZapine,905
Gammagard Liquid,906
Pioglitazone,907
Iron Dextran Complex,908
Propranolol LA,909
Heparin (CRRT Machine Priming),910
Fluocinonide 0.05% Cream,911
Maalox/Lidocaine,912
Pancrelipase 5000,913
Quetiapine extended-release,914
Meclizine,915
Betaxolol Ophth Susp  0.25%,916
Restasis,917
Bupivacaine 0.5%,918
NS Epidural Bag ,919
HYDROmorphone P.F.,920
Nitrofurantoin Monohyd (MacroBID),921
Aspirin Desensitization (AERD),922
Sodium Chloride 3% Inhalation Soln,923
0.83% Sodium Chloride,924
Methylnaltrexone,925
Heparin (Hemodialysis),926
LeVETiracetam Oral Solution,927
Docusate ,928
Hydrocodone-Acetaminophen (5mg-500mg,929
Amoxicillin-Clavulanate Susp.,930
Haemophilus B Conj. Vaccine,931
Prasugrel,932
Carbamide Peroxide 6.5%,933
OLANZapine (Disintegrating Tablet),934
Mannitol 20 %,935
Moexipril,936
Propranolol,937
Imipramine,938
Phenytoin Infatab,939
300 mcg Vial,940
Amino Acids 4.25%-Dextrose 5%,941
Clonidine Patch 0.2 mg/24 hr,942
ValACYclovir,943
Viokase-8,944
Propylthiouracil,945
MEMAntine,946
Levalbuterol Neb,947
Lubiprostone,948
Ketamine,949
Ranolazine,950
Fomepizole,951
Phenytoin Sodium (IV),952
Magnesium Sulfate (Latex Free),953
glimepiride,954
Desipramine,955
Cromolyn Sodium (Nasal Inhalation),956
Bottle,957
Imatinib Mesylate,958
Hydrocortisone Acetate Suppository,959
baclofen,960
Apraclonidine 0.5%,961
Insulin Pump (Self Administering Medication),962
Sodium Thiosulfate,963
Posaconazole Suspension,964
Ganciclovir,965
fenofibrate micronized,966
Liothyronine Sodium,967
Bupivacaine 0.1%,968
Yellow CADD Cassette,969
Piroxicam,970
